id,name,x,y,hue
301,301,735,492,198
93,93,169,201,215
6,6,343,636,207
111,111,270,386,67
28,28,389,584,165
134,134,408,498,168
64,64,137,909,199
334,334,887,309,78
323,323,968,125,202
189,189,468,403,172
280,280,871,781,267
198,198,402,630,187
155,155,609,688,165
295,295,953,959,151
248,248,843,766,55
285,285,880,842,74
227,227,536,410,172
220,220,680,513,177
103,103,321,448,131
170,170,629,696,167
51,51,253,802,54
25,25,381,555,195
261,261,752,595,206
201,201,439,670,175
166,166,541,717,173
34,34,356,634,154
252,252,903,852,104
325,325,951,143,210
146,146,678,469,193
228,228,507,415,177
306,306,792,406,233
125,125,167,173,216
276,276,830,767,62
340,340,814,401,89
148,148,696,524,179
17,17,204,842,241
312,312,865,304,62
3,3,375,587,195
286,286,915,838,224
279,279,858,760,280
12,12,264,753,277
332,332,909,265,108
330,330,924,235,132
152,152,678,630,165
342,342,791,441,121
2,2,388,570,191
66,66,132,931,197
236,236,701,551,187
142,142,603,410,165
107,107,285,415,80
23,23,137,945,160
230,230,455,445,171
47,47,254,737,288
180,180,671,438,192
158,158,506,694,181
35,35,330,627,218
127,127,163,150,215
302,302,746,474,202
82,82,265,347,275
76,76,339,459,149
215,215,657,633,193
97,97,363,515,160
277,277,816,749,73
19,19,183,878,128
335,335,842,301,287
57,57,210,861,88
202,202,452,682,165
68,68,115,949,192
200,200,429,661,188
11,11,277,733,265
115,115,222,312,71
339,339,790,372,237
337,337,811,339,260
255,255,941,913,147
9,9,303,694,238
145,145,663,452,171
5,5,359,617,157
244,244,790,687,106
289,289,908,885,105
112,112,260,366,60
179,179,689,461,191
344,344,766,472,149
245,245,802,703,242
266,266,752,654,146
324,324,981,146,167
254,254,926,890,134
283,283,868,826,64
83,83,250,326,288
138,138,489,414,188
346,346,742,522,160
14,14,239,792,65
265,265,777,633,221
333,333,866,266,288
326,326,967,171,162
45,45,243,747,283
53,53,233,823,67
78,78,317,426,129
315,315,909,234,243
132,132,346,499,150
26,26,402,567,168
123,123,188,204,233
203,203,472,694,173
140,140,554,402,177
321,321,985,120,195
268,268,765,681,133
16,16,215,826,252
320,320,971,137,199
133,133,401,529,172
288,288,927,856,215
163,163,405,589,170
81,81,281,370,260
120,120,176,242,128
79,79,307,410,231
211,211,552,690,177
38,38,334,676,138
173,173,680,655,170
126,126,133,176,159
98,98,375,494,194
124,124,151,199,151
171,171,644,686,175
87,87,201,251,244
169,169,612,706,168
160,160,452,665,177
30,30,383,603,164
207,207,449,644,192
194,194,393,488,186
73,73,372,510,165
336,336,856,344,54
96,96,394,510,191
10,10,292,713,89
272,272,800,730,89
270,270,779,709,114
271,271,798,675,241
18,18,192,858,228
105,105,303,434,103
185,185,560,390,184
52,52,218,794,259
114,114,238,332,59
253,253,914,870,118
209,209,497,676,165
147,147,690,495,181
67,67,155,942,149
296,296,980,946,191
318,318,951,173,208
161,161,431,640,186
71,71,102,103,189
42,42,306,717,102
80,80,298,396,242
199,199,415,646,165
37,37,315,643,230
183,183,609,398,165
63,63,179,913,128
212,212,589,680,188
94,94,363,533,158
8,8,317,675,225
246,246,817,723,259
190,190,457,413,191
177,177,705,507,186
49,49,262,785,60
84,84,240,307,283
